iter	Passed	Remaining
0	1	231
1	2	202
2	2	191
3	3	188
4	4	184
5	5	181
6	6	180
7	7	178
8	8	177
9	9	178
10	10	177
11	11	177
12	12	176
13	13	175
14	14	172
15	14	172
16	15	170
17	16	171
18	17	170
19	18	170
20	19	170
21	20	168
22	21	166
23	22	164
24	23	164
25	24	162
26	25	161
27	26	160
28	26	158
29	27	157
30	28	156
31	29	157
32	30	155
33	31	155
34	32	154
35	33	153
36	34	152
37	35	151
38	36	150
39	37	150
40	38	149
41	39	149
42	40	148
43	41	148
44	42	146
45	43	145
46	44	144
47	45	143
48	46	142
49	47	141
50	47	140
51	49	139
52	50	138
53	51	138
54	51	137
55	53	136
56	53	135
57	54	134
58	55	133
59	56	132
60	57	131
61	58	130
62	59	129
63	60	128
64	61	127
65	62	126
66	63	125
67	63	123
68	64	123
69	65	122
70	66	121
71	67	120
72	68	119
73	69	118
74	70	117
75	71	116
76	72	115
77	73	115
78	74	114
79	75	113
80	76	112
81	77	111
82	78	110
83	79	109
84	80	108
85	81	108
86	82	107
87	83	106
88	84	105
89	85	104
90	86	103
91	87	102
92	88	102
93	89	101
94	90	100
95	91	99
96	92	98
97	93	97
98	95	97
99	96	96
100	97	95
101	98	94
102	98	93
103	99	92
104	100	91
105	101	90
106	102	89
107	103	88
108	104	87
109	105	86
110	106	85
111	107	84
112	108	83
113	109	82
114	110	81
115	111	80
116	112	79
117	113	78
118	114	77
119	115	76
120	115	75
121	116	74
122	117	73
123	118	72
124	119	71
125	120	70
126	121	69
127	122	68
128	123	67
129	124	66
130	125	65
131	126	64
132	127	64
133	128	63
134	129	62
135	130	61
136	131	60
137	132	59
138	133	58
139	133	57
140	134	56
141	135	55
142	136	54
143	137	53
144	138	52
145	139	51
146	140	50
147	141	49
148	142	48
149	143	47
150	144	46
151	145	46
152	147	45
153	148	44
154	148	43
155	149	42
156	150	41
157	151	40
158	152	39
159	153	38
160	154	37
161	155	36
162	156	35
163	157	34
164	158	33
165	159	32
166	160	31
167	161	30
168	162	29
169	163	28
170	164	27
171	165	26
172	166	25
173	167	24
174	168	24
175	168	23
176	169	22
177	170	21
178	171	20
179	172	19
180	173	18
181	174	17
182	175	16
183	176	15
184	177	14
185	178	13
186	179	12
187	180	11
188	181	10
189	182	9
190	183	8
191	184	7
192	185	6
193	186	5
194	187	4
195	188	3
196	188	2
197	189	1
198	190	0
199	191	0
